> from tabulate import tabulate
> print tabulate(sp500, headers='keys', tablefmt='psql', showindex=False)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)


+---------+---------+---------+---------+------------------+-------------+----------------+
|    Open |    High |     Low |   Close |           Volume |   Dividends |   Stock Splits |
|   19.47 |   19.47 |   19.47 |   19.47 |      0           |           0 |              0 |
|   19.68 |   19.68 |   19.68 |   19.68 |      0           |           0 |              0 |
|   19.75 |   19.75 |   19.75 |   19.75 |      0           |           0 |              0 |
|   19.78 |   19.78 |   19.78 |   19.78 |      0           |           0 |              0 |
|   19.83 |   19.83 |   19.83 |   19.83 |      0           |           0 |              0 |
|   19.93 |   19.93 |   19.93 |   19.93 |      0           |           0 |              0 |
|   20.24 |   20.24 |   20.24 |   20.24 |      0           |           0 |              0 |
|   20.41 |   20.41 |   20.41 |   20.41 |      0           |           0 |              0 |
|   20.27 |   20.27 |   20.27 |   20.27 |      0           |           0 |              0 |
|   20.24 |   20.24 |   20.24 |   20.24 |      0           |           0 |              0 |
|   20.21 |   20.21 |   20.21 |   20.21 |      0           |           0 |              0 |
|   20.36 |   20.36 |   20.36 |   20.36 |      0           |           0 |              0 |
|   20.44 |   20.44 |   20.44 |   20.44 |      0           |           0 |              0 |
|   20.39 |   20.39 |   20.39 |   20.39 |      0           |           0 |              0 |
|   20.05 |   20.05 |   20.05 |   20.05 |      0           |           0 |              0 |
|   20.12 |   20.12 |   20.12 |   20.12 |      0           |           0 |              0 |
|   19.92 |   19.92 |   19.92 |   19.92 |      0           |           0 |              0 |
|   19.63 |   19.63 |   19.63 |   19.63 |      0           |           0 |              0 |
|   19.36 |   19.36 |   19.36 |   19.36 |      0           |           0 |              0 |
|   19.75 |   19.75 |   19.75 |   19.75 |      0           |           0 |              0 |
|   19.87 |   19.87 |   19.87 |   19.87 |      0           |           0 |              0 |
|   19.9  |   19.9  |   19.9  |   19.9  |      0           |           0 |              0 |
|   19.57 |   19.57 |   19.57 |   19.57 |      0           |           0 |              0 |
|   19.82 |   19.82 |   19.82 |   19.82 |      0           |           0 |              0 |
|   20    |   20    |   20    |   20    |      0           |           0 |              0 |
|   20.07 |   20.07 |   20.07 |   20.07 |      0           |           0 |              0 |
|   19.8  |   19.8  |   19.8  |   19.8  |      0           |           0 |              0 |
|   19.85 |   19.85 |   19.85 |   19.85 |      0           |           0 |              0 |
|   19.66 |   19.66 |   19.66 |   19.66 |      0           |           0 |              0 |
|   19.61 |   19.61 |   19.61 |   19.61 |      0           |           0 |              0 |
|   19.37 |   19.37 |   19.37 |   19.37 |      0           |           0 |              0 |
|   18.68 |   18.68 |   18.68 |   18.68 |      0           |           0 |              0 |
|   18.34 |   18.34 |   18.34 |   18.34 |      0           |           0 |              0 |
|   18.89 |   18.89 |   18.89 |   18.89 |      0           |           0 |              0 |
|   19.05 |   19.05 |   19.05 |   19.05 |      0           |           0 |              0 |
|   18.74 |   18.74 |   18.74 |   18.74 |      0           |           0 |              0 |
|   18.4  |   18.4  |   18.4  |   18.4  |      0           |           0 |              0 |
|   18.34 |   18.34 |   18.34 |   18.34 |      0           |           0 |              0 |
|   18.57 |   18.57 |   18.57 |   18.57 |      0           |           0 |              0 |
|   18.56 |   18.56 |   18.56 |   18.56 |      0           |           0 |              0 |
|   18.54 |   18.54 |   18.54 |   18.54 |      0           |           0 |              0 |
|   18.47 |   18.47 |   18.47 |   18.47 |      0           |           0 |              0 |
|   18.68 |   18.68 |   18.68 |   18.68 |      0           |           0 |              0 |
|   18.86 |   18.86 |   18.86 |   18.86 |      0           |           0 |              0 |
|   19.07 |   19.07 |   19.07 |   19.07 |      0           |           0 |              0 |
|   19.14 |   19.14 |   19.14 |   19.14 |      0           |           0 |              0 |
|   18.98 |   18.98 |   18.98 |   18.98 |      0           |           0 |              0 |
|   19.29 |   19.29 |   19.29 |   19.29 |      0           |           0 |              0 |
|   19.48 |   19.48 |   19.48 |   19.48 |      0           |           0 |              0 |
|   19.39 |   19.39 |   19.39 |   19.39 |      0           |           0 |              0 |
|   19.46 |   19.46 |   19.46 |   19.46 |      0           |           0 |              0 |
|   19.43 |   19.43 |   19.43 |   19.43 |      0           |           0 |              0 |
|   18.95 |   18.95 |   18.95 |   18.95 |      0           |           0 |              0 |
|   18.81 |   18.81 |   18.81 |   18.81 |      0           |           0 |              0 |
|   18.96 |   18.96 |   18.96 |   18.96 |      0           |           0 |              0 |
|   18.7  |   18.7  |   18.7  |   18.7  |      0           |           0 |              0 |
|   18.8  |   18.8  |   18.8  |   18.8  |      0           |           0 |              0 |
