> from tabulate import tabulate
> print tabulate(sp500.tail(100), headers='keys', tablefmt='psql', showindex=True)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)

+---------------------------+---------+---------+---------+---------+-------------+-------------+----------------+
| Date                      |    Open |    High |     Low |   Close |      Volume |   Dividends |   Stock Splits |
|---------------------------+---------+---------+---------+---------+-------------+-------------+----------------|
| 2024-12-20 00:00:00-05:00 | 5842    | 5982.06 | 5832.3  | 5930.85 | 8.22322e+09 |           0 |              0 |
| 2024-12-23 00:00:00-05:00 | 5940.25 | 5978.25 | 5902.57 | 5974.07 | 3.59328e+09 |           0 |              0 |
| 2024-12-24 00:00:00-05:00 | 5984.63 | 6040.1  | 5981.44 | 6040.04 | 1.75772e+09 |           0 |              0 |
| 2024-12-26 00:00:00-05:00 | 6024.97 | 6049.75 | 6007.37 | 6037.59 | 2.90453e+09 |           0 |              0 |
| 2024-12-27 00:00:00-05:00 | 6006.17 | 6006.17 | 5932.95 | 5970.84 | 3.15961e+09 |           0 |              0 |
| 2024-12-30 00:00:00-05:00 | 5920.67 | 5940.79 | 5869.16 | 5906.94 | 3.43325e+09 |           0 |              0 |
| 2024-12-31 00:00:00-05:00 | 5919.74 | 5929.74 | 5868.86 | 5881.63 | 3.12835e+09 |           0 |              0 |
| 2025-01-02 00:00:00-05:00 | 5903.26 | 5935.09 | 5829.53 | 5868.55 | 3.62168e+09 |           0 |              0 |
| 2025-01-03 00:00:00-05:00 | 5891.07 | 5949.34 | 5888.66 | 5942.47 | 3.66734e+09 |           0 |              0 |
| 2025-01-06 00:00:00-05:00 | 5982.81 | 6021.04 | 5960.01 | 5975.38 | 4.94012e+09 |           0 |              0 |
| 2025-01-07 00:00:00-05:00 | 5993.26 | 6000.68 | 5890.68 | 5909.03 | 4.51733e+09 |           0 |              0 |
| 2025-01-08 00:00:00-05:00 | 5910.66 | 5927.89 | 5874.78 | 5918.25 | 4.44174e+09 |           0 |              0 |
| 2025-01-10 00:00:00-05:00 | 5890.35 | 5890.35 | 5807.78 | 5827.04 | 4.75193e+09 |           0 |              0 |
| 2025-01-13 00:00:00-05:00 | 5782.02 | 5838.61 | 5773.31 | 5836.22 | 4.4212e+09  |           0 |              0 |
| 2025-01-14 00:00:00-05:00 | 5859.27 | 5871.92 | 5805.42 | 5842.91 | 4.14228e+09 |           0 |              0 |
| 2025-01-15 00:00:00-05:00 | 5905.21 | 5960.61 | 5905.21 | 5949.91 | 4.54457e+09 |           0 |              0 |
| 2025-01-16 00:00:00-05:00 | 5963.61 | 5964.69 | 5930.72 | 5937.34 | 4.28581e+09 |           0 |              0 |
| 2025-01-17 00:00:00-05:00 | 5995.4  | 6014.96 | 5978.44 | 5996.66 | 4.36683e+09 |           0 |              0 |
| 2025-01-21 00:00:00-05:00 | 6014.12 | 6051.51 | 6006.88 | 6049.24 | 4.70292e+09 |           0 |              0 |
| 2025-01-22 00:00:00-05:00 | 6081.39 | 6100.81 | 6076.13 | 6086.37 | 4.32304e+09 |           0 |              0 |
| 2025-01-23 00:00:00-05:00 | 6076.32 | 6118.73 | 6074.67 | 6118.71 | 4.43225e+09 |           0 |              0 |
| 2025-01-24 00:00:00-05:00 | 6121.43 | 6128.18 | 6088.74 | 6101.24 | 4.21425e+09 |           0 |              0 |
| 2025-01-27 00:00:00-05:00 | 5969.04 | 6017.17 | 5962.92 | 6012.28 | 5.19875e+09 |           0 |              0 |
| 2025-01-28 00:00:00-05:00 | 6026.97 | 6074.54 | 5994.63 | 6067.7  | 4.47364e+09 |           0 |              0 |
| 2025-01-29 00:00:00-05:00 | 6057.7  | 6062.83 | 6012.96 | 6039.31 | 4.11531e+09 |           0 |              0 |
| 2025-01-30 00:00:00-05:00 | 6050.75 | 6086.64 | 6027.46 | 6071.17 | 4.63462e+09 |           0 |              0 |
| 2025-01-31 00:00:00-05:00 | 6096.79 | 6120.91 | 6030.93 | 6040.53 | 4.84377e+09 |           0 |              0 |
